index,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_userid,in_reply_to_tweetid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices,Conspiracy Theory_pred,Education_pred,Environment_pred,Labor/Employment_pred,Religion_pred,Science/Technology_pred,annotations
1254904,825252864771567617,z1HuUl+9Gxe6nIzglABuIKq1xjSlhgcvfDt9ldrk7Nc=,z1HuUl+9Gxe6nIzglABuIKq1xjSlhgcvfDt9ldrk7Nc=,z1HuUl+9Gxe6nIzglABuIKq1xjSlhgcvfDt9ldrk7Nc=,Estados Unidos,"FOLLOW AND DISCOVER ALL THE LAST MINUTE. TOP USA
#TOPNEWUSA
#LASTMINUTE
#USA",,2282.0,5190,2016-11-03,es,en,JUST IN: Melania Trump Scores MAJOR Victory Against Liberals… https://t.co/ztvTom53NO https://t.co/qhDJVqvTCw,2017-01-28 08:03,dlvr.it,,,,False,,,absent,absent,0.0,0.0,0.0,0.0,[],['http://viid.me/qgM71x'],[],," This tweet is not about a conspiracy theory, as it simply states that Melania Trump has scored a victory against liberals.

Class: 0"," This tweet does not mention any education topics or have any connection to education, so it is not about education.

Class: 0"," This tweet is not about the environment and does not mention it in any way.

Class: 0"," This tweet does not have anything to do with labor or employment, and is instead about Melania Trump's victory against liberals. 
Class: 0"," This tweet is not about religion; it is about Melania Trump's victory against liberals.

Class: 0"," This tweet does not mention anything about science or technology.

Class: 0",[]
1082628,816229906983964672,EnJOMZA4bIqKIG7CS5cI7OPKgxg6HAIo4+AwnWjN44=,EnJOMZA4bIqKIG7CS5cI7OPKgxg6HAIo4+AwnWjN44=,EnJOMZA4bIqKIG7CS5cI7OPKgxg6HAIo4+AwnWjN44=,Estados Unidos,All information of america and more.. TOP USA #AMERICA #TOPUSA #POLITICSTOP,,2072.0,2243,2016-11-03,es,en,Stocks: 5 things to know before the bell https://t.co/xHnbNlUfiq https://t.co/hT7EzUgUfK,2017-01-03 10:29,dlvr.it,,,,False,,,absent,absent,0.0,0.0,1.0,2.0,[],['http://viid.me/qusfjB'],[],," This tweet is not about a conspiracy theory because it is providing information about stock market trends. 
Class: 0"," This tweet does not mention anything related to education, it is discussing stocks. 
Class: 0"," This tweet is not about environment, as it is talking about stock information.

Class: 0"," This tweet does not mention any labor or employment topics.

Class: 0"," This Tweet is about stocks and does not mention anything about religion.

Class: 0"," This tweet is not about Science/Technology as it is referring to stock prices.

Class: 0",[]
1293885,903817338709008386,wwec6zN1bIVqojfFvFx9D3TGpTTqerWyIcvmP0tIDaE=,wwec6zN1bIVqojfFvFx9D3TGpTTqerWyIcvmP0tIDaE=,wwec6zN1bIVqojfFvFx9D3TGpTTqerWyIcvmP0tIDaE=,Estados Unidos,But he made too many enemies Of the people who would keep us on our knees Hooray for Peter Pumpkin Who'll pray for Peter Pumpkinhead? ?????? #MAGA,https://t.co/4srF9ALSJp,1893.0,84,2017-08-18,es,en,LOOK WHO was FORCED to Disavow Antifa!  https://t.co/qsUsZxGE1q,2017-09-02 03:10,Zapier.com,,,,False,,,absent,absent,0.0,0.0,0.0,1.0,[],['http://zpr.io/PQUJA'],[],," This tweet implies that someone was forced to disavow Antifa, which could suggest a conspiracy theory about someone being forced to disavow the group.

Class: 1"," This Tweet is not about Education as it does not mention any educational topics. 
Class: 0"," This tweet is not about the environment, but about the disavowing of Antifa.

Class: 0"," The tweet does not mention labor or employment, as it is talking about someone being forced to disavow Antifa.

Class: 0"," This tweet is not about religion. It is about someone being forced to disavow a political organization. 
Class: 0"," This tweet is not about science or technology and does not mention any scientific or technological advancements.

Class: 0",['Conspiracy Theory']
187033,1063439406361731073,xJ57jjSHWvX9mAMmhv7fVaVzxe13bBfCZuGZaBNucL0=,xJ57jjSHWvX9mAMmhv7fVaVzxe13bBfCZuGZaBNucL0=,xJ57jjSHWvX9mAMmhv7fVaVzxe13bBfCZuGZaBNucL0=,"Kampala, Uganda","this page for teamshirumatic updates and the award winning 256 spindoctor 'mixes,latestphotos ,love Updates with whole team @djshiru",https://t.co/oT1yUpwAsC,4469.0,713,2016-07-19,en,en,"@DjShiru smashing it up// Run Di Place @Bamby
#HOTMIX
CLUB-MIX FRIDAY at 5:10PM
_________________________________________
 #DjShiruLiveMix { @UrbanTVUganda }
📺 📺 📺 📺 📺📺📺 📺 📺 📺 📺
SPONSORED by @ClubPilsener",2018-11-16 14:31,Twitter for iPhone,597473756,,,False,,,absent,absent,0.0,0.0,0.0,0.0,"['HOTMIX', 'DjShiruLiveMix']",[],"['597473756', '8789142', '359814192', '160851598']",," This tweet has nothing to do with conspiracy theory and is instead promoting a DJ event.

Class: 0"," This tweet is not about education as it is advertising a club-mix event and does not mention education in any way.

Class: 0"," This tweet does not discuss the environment in any way, nor does it relate to any environmental issue.

Class: 0"," This tweet is not about labor or employment as it does not mention any topics related to these concepts.

Class: 0"," This tweet is about a club-mix being played at 5:10 PM and is sponsored by a certain user, so it is not about religion.

Class: 0"," This tweet is not about Science/Technology as it is about a club-mix event. 

Class: 0",['Religion']
281944,1186641059843063808,830195087078518785,ssebunya shafique,ssebunyashaf,Uganda,"economics politics music and sports
@arsenal & @Barcelona",https://t.co/4lf4iRcXJT,15717.0,4232,2017-02-10,en,en,RT @LxIZFKrgNsaCLceCiBg56S2BLCm2FvPNhlC2Hizos=: @AndrewMwenda : The problems of Africa are locally generated... we look for solutions from Oxford books (foreign books )…,2019-10-22 13:50,Twitter for Android,,,,True,830195087078518785,1.1866399567747072e+18,absent,absent,0.0,0.0,0.0,0.0,[],[],"['LxIZFKrgNsaCLceCiBg56S2BLCm2FvPNhlC2Hizos=', '96941094']",," This tweet is not about a conspiracy theory, as it is simply discussing the idea of looking for solutions from foreign books.

Class: 0"," This tweet is not about education because it is discussing the problems of Africa and how they are locally generated, not discussing educational resources.

Class: 0"," This tweet is not about the environment, as it does not mention any environmental topics or issues.

Class: 0"," This tweet is not about labor or employment. It is discussing the problems of Africa and looking for solutions from books.

Class: 0"," This tweet is not about religion because it is talking about the problems of Africa and how they look for solutions from foreign books.

Class: 0"," Since the tweet is discussing the problems of Africa and solutions from foreign books, it does not relate to Science or Technology.

Class: 0",[]
176776,981668147618111488,xJ57jjSHWvX9mAMmhv7fVaVzxe13bBfCZuGZaBNucL0=,xJ57jjSHWvX9mAMmhv7fVaVzxe13bBfCZuGZaBNucL0=,xJ57jjSHWvX9mAMmhv7fVaVzxe13bBfCZuGZaBNucL0=,"Kampala, Uganda","this page for teamshirumatic updates and the award winning 256 spindoctor 'mixes,latestphotos ,love Updates with whole team @djshiru",https://t.co/oT1yUpwAsC,4469.0,713,2016-07-19,en,en,"@DjShiru smashing it up with Fire fire @rudeboypsquare
#WednesdayMotivation 
THE DAWN Kasanga https://t.co/Ow4xtAp8Sr",2018-04-04 23:01,Twitter for Android,597473756,,,False,,,absent,absent,0.0,0.0,0.0,0.0,['WednesdayMotivation'],[],"['597473756', '320327987']",," This tweet is not about a conspiracy theory, as it does not contain any speculation or allegations of secret, malicious, or illegal activities.

Class: 0"," This tweet is not about Education. It does not mention any educational topics or resources.

Class: 0"," This tweet does not mention anything related to the environment, so it is not about the environment.

Class: 0"," This tweet does not mention labor or employment in any way, so it does not relate to either of these topics.

Class: 0"," This tweet is not about religion as it does not mention any religious topics, beliefs, or practices. 

Class: 0"," This tweet does not mention anything related to science or technology so it does not pertain to either topic. 

Class: 0",[]
1489833,805230713406570496,lHqQ8MTKG78YmeSRLovYeA047hOlzNDzUaf5lytp7eo=,lHqQ8MTKG78YmeSRLovYeA047hOlzNDzUaf5lytp7eo=,lHqQ8MTKG78YmeSRLovYeA047hOlzNDzUaf5lytp7eo=,,"Learn about the current US economy and politics..
FOLLOW..!!
#TOPUSA
#TOPNEWPOLITICAL
#ECONOMY",,2773.0,4857,2016-11-11,es,en,Whoopi: This Is Why Black People Don’t Want To Talk To White People” https://t.co/EVlM5MAcJ7 https://t.co/dOPG4mIvSb,2016-12-04 02:02,dlvr.it,,,,False,,,absent,absent,0.0,1.0,0.0,0.0,[],['http://viid.me/qw5R4A'],[],," This Tweet is not about a conspiracy theory, as it is discussing a statement made by Whoopi Goldberg about racial issues.

Class: 0"," The tweet does not mention anything about education and is not related to the topic.

Class: 0"," This tweet does not mention anything about the environment, instead it talks about race relations.

Class: 0"," This tweet does not appear to be related to labor or employment.

Class: 0"," This Tweet does not mention any religion. 
Class: 0"," This tweet is discussing the issue of racism and does not relate to science or technology.

Class: 0",[]
1267915,825801868945141760,z1HuUl+9Gxe6nIzglABuIKq1xjSlhgcvfDt9ldrk7Nc=,z1HuUl+9Gxe6nIzglABuIKq1xjSlhgcvfDt9ldrk7Nc=,z1HuUl+9Gxe6nIzglABuIKq1xjSlhgcvfDt9ldrk7Nc=,Estados Unidos,"FOLLOW AND DISCOVER ALL THE LAST MINUTE. TOP USA
#TOPNEWUSA
#LASTMINUTE
#USA",,2282.0,5190,2016-11-03,es,en,BREAKING: London’s Muslim Mayor Insults Trump… https://t.co/QX6P9QuRNV https://t.co/Y38eG9TWdF,2017-01-29 20:24,dlvr.it,,,,False,,,absent,absent,0.0,0.0,0.0,0.0,[],['http://viid.me/qhYKmb'],[],," This tweet does not mention any conspiracies, it is simply reporting on the London Mayor's comments about Donald Trump.

Class: 0"," This tweet does not appear to be related to education in any way.

Class: 0"," This tweet is not about the environment. It is about the Mayor of London, who is Muslim, insulting U.S. President Donald Trump. 

Class: 0"," This tweet is not about Labor/Employment and is only discussing the Mayor of London insulting Trump.

Class: 0"," This tweet is discussing a political issue involving a Muslim mayor and Trump, and does not mention any religious topics.

Class: 0"," This tweet is not about science or technology, it is about the relationship between the mayor of London and the President of the United States.

Class: 0",[]
462395,1317036079808192512,D7TcckRvnRhWF+kZS8s14EcaUF0cLIVTJToDVXUlM=,D7TcckRvnRhWF+kZS8s14EcaUF0cLIVTJToDVXUlM=,D7TcckRvnRhWF+kZS8s14EcaUF0cLIVTJToDVXUlM=,,"Apples any day anytime 🍎, I love 🎶,  give me a call for a club outing😜
Ntungamo all the wayyy🚘",,1915.0,1489,2020-09-28,en,en,RT @GovUganda: The #TVETpolicy19 dissemination exercise for Principals of BTVET private institutions continues today at UMA Grounds.@Educ_S…,2020-10-16 09:34,Twitter for Android,,,,True,,1.3170309593599222e+18,absent,absent,0.0,0.0,0.0,0.0,['TVETpolicy19'],[],['1041882265'],," This tweet does not mention anything related to the conspiracy theory, so it is not about a conspiracy theory. 

Class: 0"," This Tweet is about the dissemination exercise for Principals of BTVET private institutions, which is related to Education.

Class: 1"," This tweet is not about the environment. It is about the TVET policy and its dissemination exercise. 
Class: 0"," This tweet is about Technical and Vocational Education and Training (TVET) policy which is not related to labor or employment.

Class: 0"," This tweet is about the dissemination of the Technical and Vocational Education and Training (TVET) policy for private institutions and is not about religion.

Class: 0"," This tweet does not mention anything related to science or technology and is simply a tweet about an event related to vocational training.

Class: 0",['Education']
1428284,888854613021126657,NzYwfNUZbigDTWV5zmrtUF4A+nX4Nr5q+RDvBcTDHI=,NzYwfNUZbigDTWV5zmrtUF4A+nX4Nr5q+RDvBcTDHI=,NzYwfNUZbigDTWV5zmrtUF4A+nX4Nr5q+RDvBcTDHI=,Estados Unidos,"Great journalist to take information that if it is worth reading, you want to have the most current of the moment? Follow me",https://t.co/4srF9ALSJp,529.0,1869,2017-07-11,es,en,Scaramucci Just Revealed What is on Trump’s “Missile Lock” https://t.co/10gqt5Is2A https://t.co/ixO9InOUrl,2017-07-22 20:13,IFTTT,,,,False,,,absent,absent,0.0,0.0,0.0,0.0,[],['http://ift.tt/2vLL5Ok'],[],," This tweet is not about a Conspiracy Theory and does not mention any conspiracy theories.

Class: 0"," This tweet is not related to education in any way. 
Class: 0"," This tweet is not about the environment, as it discusses the Trump administration's policy on missiles.

Class: 0"," This tweet does not appear to have anything to do with labor or employment, so it does not fit into this category.

Class: 0"," This tweet is not about religion.
Class: 0"," This tweet is referencing the recent comments made by Anthony Scaramucci regarding President Trump's nuclear capabilities.

Class: 0",[]
