index,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_userid,in_reply_to_tweetid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices,Conspiracy Theory_pred,Education_pred,Environment_pred,Labor/Employment_pred,Religion_pred,Science/Technology_pred,annotations
1254904,825252864771567617,z1HuUl+9Gxe6nIzglABuIKq1xjSlhgcvfDt9ldrk7Nc=,z1HuUl+9Gxe6nIzglABuIKq1xjSlhgcvfDt9ldrk7Nc=,z1HuUl+9Gxe6nIzglABuIKq1xjSlhgcvfDt9ldrk7Nc=,Estados Unidos,"FOLLOW AND DISCOVER ALL THE LAST MINUTE. TOP USA
#TOPNEWUSA
#LASTMINUTE
#USA",,2282.0,5190,2016-11-03,es,en,JUST IN: Melania Trump Scores MAJOR Victory Against Liberals… https://t.co/ztvTom53NO https://t.co/qhDJVqvTCw,2017-01-28 08:03,dlvr.it,,,,False,,,absent,absent,0.0,0.0,0.0,0.0,[],['http://viid.me/qgM71x'],[],,0.0,0.0,0.0,0.0,0.0,0.0,[]
1082628,816229906983964672,EnJOMZA4bIqKIG7CS5cI7OPKgxg6HAIo4+AwnWjN44=,EnJOMZA4bIqKIG7CS5cI7OPKgxg6HAIo4+AwnWjN44=,EnJOMZA4bIqKIG7CS5cI7OPKgxg6HAIo4+AwnWjN44=,Estados Unidos,All information of america and more.. TOP USA #AMERICA #TOPUSA #POLITICSTOP,,2072.0,2243,2016-11-03,es,en,Stocks: 5 things to know before the bell https://t.co/xHnbNlUfiq https://t.co/hT7EzUgUfK,2017-01-03 10:29,dlvr.it,,,,False,,,absent,absent,0.0,0.0,1.0,2.0,[],['http://viid.me/qusfjB'],[],,0.0,0.0,0.0,0.0,0.0,1.0,['Science/Technology']
1293885,903817338709008386,wwec6zN1bIVqojfFvFx9D3TGpTTqerWyIcvmP0tIDaE=,wwec6zN1bIVqojfFvFx9D3TGpTTqerWyIcvmP0tIDaE=,wwec6zN1bIVqojfFvFx9D3TGpTTqerWyIcvmP0tIDaE=,Estados Unidos,But he made too many enemies Of the people who would keep us on our knees Hooray for Peter Pumpkin Who'll pray for Peter Pumpkinhead? ?????? #MAGA,https://t.co/4srF9ALSJp,1893.0,84,2017-08-18,es,en,LOOK WHO was FORCED to Disavow Antifa!  https://t.co/qsUsZxGE1q,2017-09-02 03:10,Zapier.com,,,,False,,,absent,absent,0.0,0.0,0.0,1.0,[],['http://zpr.io/PQUJA'],[],,0.0,0.0,0.0,0.0,1.0,0.0,['Religion']
187033,1063439406361731073,xJ57jjSHWvX9mAMmhv7fVaVzxe13bBfCZuGZaBNucL0=,xJ57jjSHWvX9mAMmhv7fVaVzxe13bBfCZuGZaBNucL0=,xJ57jjSHWvX9mAMmhv7fVaVzxe13bBfCZuGZaBNucL0=,"Kampala, Uganda","this page for teamshirumatic updates and the award winning 256 spindoctor 'mixes,latestphotos ,love Updates with whole team @djshiru",https://t.co/oT1yUpwAsC,4469.0,713,2016-07-19,en,en,"@DjShiru smashing it up// Run Di Place @Bamby
#HOTMIX
CLUB-MIX FRIDAY at 5:10PM
_________________________________________
 #DjShiruLiveMix { @UrbanTVUganda }
📺 📺 📺 📺 📺📺📺 📺 📺 📺 📺
SPONSORED by @ClubPilsener",2018-11-16 14:31,Twitter for iPhone,597473756,,,False,,,absent,absent,0.0,0.0,0.0,0.0,"['HOTMIX', 'DjShiruLiveMix']",[],"['597473756', '8789142', '359814192', '160851598']",,0.0,0.0,0.0,0.0,0.0,0.0,[]
281944,1186641059843063808,830195087078518785,ssebunya shafique,ssebunyashaf,Uganda,"economics politics music and sports
@arsenal & @Barcelona",https://t.co/4lf4iRcXJT,15717.0,4232,2017-02-10,en,en,RT @LxIZFKrgNsaCLceCiBg56S2BLCm2FvPNhlC2Hizos=: @AndrewMwenda : The problems of Africa are locally generated... we look for solutions from Oxford books (foreign books )…,2019-10-22 13:50,Twitter for Android,,,,True,830195087078518785,1.1866399567747072e+18,absent,absent,0.0,0.0,0.0,0.0,[],[],"['LxIZFKrgNsaCLceCiBg56S2BLCm2FvPNhlC2Hizos=', '96941094']",,0.0,1.0,1.0,0.0,0.0,0.0,"['Education', 'Environment']"
176776,981668147618111488,xJ57jjSHWvX9mAMmhv7fVaVzxe13bBfCZuGZaBNucL0=,xJ57jjSHWvX9mAMmhv7fVaVzxe13bBfCZuGZaBNucL0=,xJ57jjSHWvX9mAMmhv7fVaVzxe13bBfCZuGZaBNucL0=,"Kampala, Uganda","this page for teamshirumatic updates and the award winning 256 spindoctor 'mixes,latestphotos ,love Updates with whole team @djshiru",https://t.co/oT1yUpwAsC,4469.0,713,2016-07-19,en,en,"@DjShiru smashing it up with Fire fire @rudeboypsquare
#WednesdayMotivation 
THE DAWN Kasanga https://t.co/Ow4xtAp8Sr",2018-04-04 23:01,Twitter for Android,597473756,,,False,,,absent,absent,0.0,0.0,0.0,0.0,['WednesdayMotivation'],[],"['597473756', '320327987']",,0.0,0.0,0.0,0.0,0.0,0.0,[]
1489833,805230713406570496,lHqQ8MTKG78YmeSRLovYeA047hOlzNDzUaf5lytp7eo=,lHqQ8MTKG78YmeSRLovYeA047hOlzNDzUaf5lytp7eo=,lHqQ8MTKG78YmeSRLovYeA047hOlzNDzUaf5lytp7eo=,,"Learn about the current US economy and politics..
FOLLOW..!!
#TOPUSA
#TOPNEWPOLITICAL
#ECONOMY",,2773.0,4857,2016-11-11,es,en,Whoopi: This Is Why Black People Don’t Want To Talk To White People” https://t.co/EVlM5MAcJ7 https://t.co/dOPG4mIvSb,2016-12-04 02:02,dlvr.it,,,,False,,,absent,absent,0.0,1.0,0.0,0.0,[],['http://viid.me/qw5R4A'],[],,1.0,1.0,1.0,0.0,1.0,0.0,"['Conspiracy Theory', 'Education', 'Environment', 'Religion']"
1267915,825801868945141760,z1HuUl+9Gxe6nIzglABuIKq1xjSlhgcvfDt9ldrk7Nc=,z1HuUl+9Gxe6nIzglABuIKq1xjSlhgcvfDt9ldrk7Nc=,z1HuUl+9Gxe6nIzglABuIKq1xjSlhgcvfDt9ldrk7Nc=,Estados Unidos,"FOLLOW AND DISCOVER ALL THE LAST MINUTE. TOP USA
#TOPNEWUSA
#LASTMINUTE
#USA",,2282.0,5190,2016-11-03,es,en,BREAKING: London’s Muslim Mayor Insults Trump… https://t.co/QX6P9QuRNV https://t.co/Y38eG9TWdF,2017-01-29 20:24,dlvr.it,,,,False,,,absent,absent,0.0,0.0,0.0,0.0,[],['http://viid.me/qhYKmb'],[],,0.0,0.0,0.0,0.0,1.0,0.0,['Religion']
462395,1317036079808192512,D7TcckRvnRhWF+kZS8s14EcaUF0cLIVTJToDVXUlM=,D7TcckRvnRhWF+kZS8s14EcaUF0cLIVTJToDVXUlM=,D7TcckRvnRhWF+kZS8s14EcaUF0cLIVTJToDVXUlM=,,"Apples any day anytime 🍎, I love 🎶,  give me a call for a club outing😜
Ntungamo all the wayyy🚘",,1915.0,1489,2020-09-28,en,en,RT @GovUganda: The #TVETpolicy19 dissemination exercise for Principals of BTVET private institutions continues today at UMA Grounds.@Educ_S…,2020-10-16 09:34,Twitter for Android,,,,True,,1.3170309593599222e+18,absent,absent,0.0,0.0,0.0,0.0,['TVETpolicy19'],[],['1041882265'],,0.0,1.0,0.0,1.0,0.0,0.0,"['Education', 'Labor/Employment']"
1428284,888854613021126657,NzYwfNUZbigDTWV5zmrtUF4A+nX4Nr5q+RDvBcTDHI=,NzYwfNUZbigDTWV5zmrtUF4A+nX4Nr5q+RDvBcTDHI=,NzYwfNUZbigDTWV5zmrtUF4A+nX4Nr5q+RDvBcTDHI=,Estados Unidos,"Great journalist to take information that if it is worth reading, you want to have the most current of the moment? Follow me",https://t.co/4srF9ALSJp,529.0,1869,2017-07-11,es,en,Scaramucci Just Revealed What is on Trump’s “Missile Lock” https://t.co/10gqt5Is2A https://t.co/ixO9InOUrl,2017-07-22 20:13,IFTTT,,,,False,,,absent,absent,0.0,0.0,0.0,0.0,[],['http://ift.tt/2vLL5Ok'],[],,0.0,0.0,0.0,0.0,1.0,0.0,['Religion']
